BillToName," Actuals
k Local
FY25 YTD "," Actuals
k Local
FY24 "," Actuals
k Sqm
FY25 YTD "," Actuals
k Sqm
FY24 "," Budget
k Local
FY25 YTD "," Budget
k Sqm
FY24 ",Avg AV% FY25,Avg GM% FY25,Avg AV% Budget,Avg GM% Budget
PHARMACIE CENTRALE DES ARMEES, 302 , -   , -   , -   , -   ,,100.00%,100.00%,52.17%,38.16%
Probodelt S.L., 290 , -   , 19 , -   , -   ,,55.55%,12.09%,52.17%,38.16%
"Ypsomed AG CH-Burgdorf, BE", 251 , 480 , 37 , 210 , -   ,,51.80%,10.53%,52.17%,38.16%
BAUSCH AND LOMB GMBH, 212 , -   , 57 , -   , -   ,,27.35%,-24.47%,52.17%,38.16%
Omega Pharma DE-Herrenberg, 117 ," 1,635 ", -   , 266 ," 2,500 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
"LABORATORIOS ANUR, S.L.", 94 , -   , -   , -   , -   ,,100.00%,100.00%,52.17%,38.16%
PROPACK SPA, 0 , -   , 143 , -   , -   ,,0.00%,0.00%,52.17%,38.16%
PENN PHARMACEUTICALS, -   ," 25,193 ", -   ," 1,924 "," 2,852 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
GELISIM MEDIKAL TIBBI MALZEME PAZ.SAN.VE, -   , -   , -   , 211 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Swissco Services Ag CH-Sisseln / Ag, -   ,"-1,649 ", -   , -   , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Swann Morton Ltd, -   ," 28,557 ", -   ," 63,832 "," 99,587 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Bemis Asia Pacific Sdn Bhd MY-Subang Jaya, -   ," 48,063 ", -   ," 56,610 "," 42,283 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
L.P. ITALIANA SPA, -   ,"-122,687 ", -   , -   , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
CATALENT DE-Schorndorf, -   ," 2,396 ", -   , 438 , 297 ,,#DIV/0!,#DIV/0!,52.17%,38.16%
HA&K CORPORATION, -   ," 97,363 ", -   ," 5,715 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Cenova SE-Mjolby, -   , 650 , -   , 210 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
OXOID LTD, -   ," 55,687 "," 2,892 "," 11,680 ", -   ,,0.00%,0.00%,52.17%,38.16%
Bastos Viegas PT-Guilhufe, -   ," 9,487 ", -   ," 5,112 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
SMITHS MEDICAL ITALIA S.R.L (L. Scalo), -   ," 13,386 ", -   ," 39,827 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Drucktechnik Weinstadt Gbr DE-Weinstadt, -   , 437 , -   , 227 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Fertin Pharma DK-Vejle, -   ," 21,100 ", -   ," 5,031 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
B/Braun Surgical ES-Rubi, -   , -   , 90 , -   , -   ,,0.00%,0.00%,52.17%,38.16%
JORDAN SWEDEN MEDICAL, -   , 424 , -   , 70 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
CONTACARE OPTHALMICS & DIAGNOSTICS, -   ," 2,645 ", -   ," 7,452 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
KIMAL PLC, -   ," 12,490 ", -   ," 10,988 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
GEEJAY CHEMICALS LTD, -   , -   , -   , -   ," 30,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Granton Ragg GB-Sheffield, -   ," 9,807 ", -   ," 27,362 "," 5,414 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
EO LABS, -   , -   , -   , -   ," 10,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
SUDEMED TIBBI URUNLER, -   ," 57,350 ", -   ," 51,704 "," 1,963 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Ernest Jackson & Co GB-Crediton, -   , -   , -   , -   ," 2,104 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
TECHNIPAQ INC, -   , -   , -   , -   ," 32,839 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
BIVAS ETIKET A S, -   ," 58,422 ", -   ," 30,804 "," 45,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Laboratorios Cinfa ES-Huarte-Pamplona, -   ," 2,229 ", -   , 744 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Klocke Verpackungs-Service DE-Weingarten, -   , -   , -   , -   ," 1,667 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
UPSA SAS Rueil-Malmaison, -   , -   , -   , -   ," 3,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Raw Materials Recycling BVBA, -   ," 4,412 ", -   , -   , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
FARMACEUTICI PROCEMSA S.p.A., -   , 396 , -   , 74 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
REHA ELEKTRONIK SAN PAZ LTD STI, -   ," 43,958 ", -   ," 20,560 "," 31,055 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Allmed Middle East (Allmedgroup), -   , -   , 330 , -   , -   ,,0.00%,0.00%,52.17%,38.16%
STERIMISR, -   ," 36,650 ", -   ," 21,533 "," 30,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Creapharm Sas FR-Le Haillan Cedex, -   , -   , -   , -   ," 33,600 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Bieffe Medital ES-Huesca, -   ," 643,345 ", -   ," 1,923,625 "," 1,540,524 ",,#N/A,#N/A,52.17%,38.16%
(blank),,,,,,,,,,
AF Winterbourne GB-Bristol, -   , -   ," 16,720 "," 10,224 ", -   ,,0.00%,0.00%,52.17%,38.16%
TAG MEDICAL PRODUCTS, -   , -   , -   , 58 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
BBRAUN OYSTER, -   , -   , -   , 151 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
AF HealthCare AmSky, -   , -   , -   , -   ," 26,167 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
BMS SO Valkeakoski, -   , -   , -   , 491 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Codan Medizinische Geraete DE-Lensahn, -   ," 106,630 ", -   ," 526,823 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Bandon Vale Cheese IE-Bandon, -   , -   , -   , 216 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Onko Ilac San. ve Ticaret A.S., -   ," 32,062 ", -   ," 11,659 "," 40,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
INFOMED PHARMA, -   ," 103,521 ", -   ," 189,111 "," 189,111 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
B Braun Medinorm HU-, -   ," 3,303 ", -   ," 7,898 "," 30,312 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Frugam Sas FR-Montauban, -   , 687 , -   , 360 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Johnson & Johnson Pharmaceutical, -   , -   , -   , -   ," 1,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
ALVOTECH HF, -   , 0 , -   , 115 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
PHARMAPACK SA DE CV, -   ," 1,126 ", -   , 439 , 833 ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Flexible Medical Packaging GB-Lancaster, -   ," 7,229 ", -   ," 11,850 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
SoliPharma BV, -   ," 1,478 ", -   , 440 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
BOSTIK INC, -   ," 348,291 ", -   ," 469,334 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
UCB Pharma, -   , -   , -   , -   ," 10,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Boehringer Ingelheim DE-Ingleheim am Rhein, -   ," 5,000 ", -   , 450 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Arimpeks Aluminyum TR-Gebze - Turkiye, -   , -   , -   , -   ," 3,833 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Cigalah Healthcare LLC., -   , -   , -   , -   ," 100,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Siit S.R.L. IT-Trezzano S/Navi, -   , -   , -   , -   ," 3,833 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
"Sterilin Ltd GB-Newport, NWP", -   ," 68,332 ", -   ," 89,532 "," 52,882 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Uhlmann Pac System GmBH DE-Laupheim, -   , -   , 240 ," 1,050 "," 1,653 ",,0.00%,0.00%,52.17%,38.16%
EPSA MARKETPLACE, -   ," 2,173 ", -   , 425 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Epitomee Medical ltd, -   ," 5,239 ", -   , 426 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Eppendorf Polymere GmbH, -   , 435 , -   , 211 ," 25,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
CATALENT GB _SWINDON, -   ," 68,179 ", -   ," 47,195 "," 60,973 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Europharma Alliance sp. z o.o., -   , -   , -   , -   ," 60,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
THE TOFOO COMPANY LTD, -   ," 106,797 ", -   ," 99,679 "," 110,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Cair LGL SA, -   ," 19,328 ", -   ," 22,755 "," 35,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
MENARINI LLAC SAN VE TIC A.S, -   ," 46,484 ", -   ," 8,209 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
B.BRAUN MELSUNGEN AG, -   , -   , -   , -   ," 256,277 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
WASDELL PACKAGING LTD, -   ," 1,754 ", -   , 103 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Reckitt GB-Hull, -   , -   , -   , -   ," 38,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
UCB PHARMA SA, -   ," 3,719 ", -   , 945 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Grünenthal Gmbh DE-Aachen, -   , -   , -   , -   ," 29,162 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
ALBINO DIAS DE ANDRADE PT-Pacos de Ferrerira, -   , -   , -   , -   ," 20,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Lelypharma B.V. NL-Lelystad, -   , -   , -   , -   ," 29,162 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
BOEHRINGER INGELHEIM PHARMA, -   , -   , -   , -   ," 11,690 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Medset Ambalaj San ve Tic ltd sti_TR_Gaziantep, -   ," 39,041 ", -   ," 43,074 "," 50,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
MONDELEZ POLSKA SP. Z O.O, -   ,"-1,218 ", -   , -   , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Alimenta A/S NO-Hagan, -   , -   , -   , -   ," 100,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Heinrichsthaler Milchwerke Gmbh DE-Radeberg, -   , -   , -   , -   ," 110,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Nutraresearch 2011 SL, -   ," 8,337 ", -   ," 2,539 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Abbott Laboratories GmbH DE-Neustadt, -   , -   , -   , -   ," 2,083 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
Coveris Flexibles Deutschland GmbH, -   , -   , -   , -   ," 90,000 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
"Nova Thin Film Pharmaceuticals LLC US-Greensboro, NC", -   ,"-18,321 ", -   , -   , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
"Reckitt Healthcare GB-Slough, WBK", -   ," 4,410 ", -   ," 2,072 ", -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
"Astellas Ireland Ltd., IE-Co. Kerry", -   , -   , -   , -   ," 2,104 ",,#DIV/0!,#DIV/0!,52.17%,38.16%
RIOJA NATURA PHARMA, -   , -   , -   , 109 , -   ,,#DIV/0!,#DIV/0!,52.17%,38.16%
Revised Budget Adj, -   , -   , -   , -   ,"-325,144 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
SIDROGA Gesellschaft, -   ," 1,562 ", -   , 702 , 833 ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Brunel Healthcare Manuf. Ltd 00-Swadlincote, -   , -   , -   , -   ," 2,104 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
VIOMEDEX LTD, -   ," 3,251 ", -   ," 4,960 ", 920 ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Delpharm Meppel BV, -   , -   , -   , -   ," 2,500 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
"VITAR, s.r.o.", -   , -   , -   , 370 , -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
"Eisai Manufacturing Ltd. GB-Hatfield, Hertf", -   , -   , -   , -   ," 2,104 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
AF Selestat FR-Selestat, -   , 363 , -   , -   , -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Excella Gmbh DE-Feucht, -   , -   , -   , -   , 833 ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
"AF New London Healthcare US-New London, WI", -   ," 92,173 ", -   ," 21,728 ", -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Galewpet SASU, -   , -   , -   , -   ," 4,000 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Novartis Saglik Gida Ve Tarim TR-Kurtkoy-Istanbu, -   , -   , -   , -   ," 5,000 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
"Ha&K Corporation KR-Kyunggi-Do, Kor", -   , -   , -   , -   ," 5,000 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Pfizer Manufacturing DE-Berlin, -   , -   , -   , -   ," 5,000 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
"Coligroup SPA IT-Chiari, BS", -   , -   , -   , -   , 725 ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Pharmapac (UK) Ltd, -   , -   , 460 , -   , -   ,,0,0,0.5217109,0.381557255
NOUCOR HEALTH SA, -   ," 2,086 ", -   , 346 , -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Medimop Medical Projects Ltd, -   , -   , -   , 630 , -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Nutraresearch, -   , -   , -   , -   ," 16,667 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
VALPHARMA INTERNATIONAL SPA, -   , 779 , -   , 80 , -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Sanipack Solutions, -   , -   , -   , 169 , -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
"Teleflex Medical US-Durham, Nc", -   ," 6,387 ", -   ," 12,365 ", -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Solipharma, -   , -   , -   , -   ," 10,000 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
SUDPACK MEDICA (FR 1), -   , -   , -   , -   ," 60,000 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Strapharm FR-Saint Hilaire De Loulay, -   , 774 , -   , 264 , -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Adhe-Els TN-Sousse, -   ," 9,086 ", -   ," 4,176 ", -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
VECMEDICAL Spain SL, -   , -   , -   , -   ," 23,271 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
AF Teningen DE-Teningen, -   ," 106,544 ", -   ," 26,165 ", -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Adamed Pharma Sa PL-Ksawerow, -   , -   , -   , -   ," 2,083 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
ARKOPHARMA, -   , -   , -   , -   ," 10,000 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Fine Foods N.T.M. S.P.A. IT-Zingonia-Verdel, -   , -   , -   , -   ," 3,000 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
GAMA GROUP, -   ," 194,678 ", -   ," 167,752 "," 126,857 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Les Laboratoires Servier FR-Fleury Les Aubr, -   , -   , -   , -   ," 3,000 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Mibe Gmbh Arzneimittel DE-Brehna, -   , -   , -   , -   ," 29,162 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
"Sun Pharmaceutical IN-Halol, Gujarat", -   , -   , -   , -   ," 6,250 ",,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Clp Industries IL-Kibutz Negba, -   ," 1,785 ", -   ," 2,428 ", -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Chester Medical (ADS Graphics), -   , -   , -   , 152 , -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
Catalent Italy S.P.A. IT-Aprilia, -   , 437 , -   , 91 , -   ,,#DIV/0!,#DIV/0!,0.5217109,0.381557255
DALE FARM LTD,-21 , -   , 802 , -   , -   ,,1.003314394,1.003314394,0.5217109,0.381557255
KERRY CONSUMER FOODS,-109 , -   , -   , -   , -   ,,0.344303062,0.20985349,0.5217109,0.381557255
Takeda DE-Oranienburg,-367 ," 19,845 ", -   ," 5,122 ", -   ,,0.350092125,0.263595493,0.5217109,0.381557255
SMITH&NEPHEW MEDICAL SUZHOU,"-4,017 ", -   , -   , -   , -   ,,1,1,0.5217109,0.381557255
Vetoquinol FR-Lure Cedex,"-8,314 "," 39,536 ", -   ," 2,426 "," 4,900 ",,1,1,0.5217109,0.381557255
